% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 59.03    0.048902           3     16178           read
 39.71    0.032895        8223         4         2 wait4
  0.28    0.000229         114         2           clone
  0.19    0.000155           3        44        16 openat
  0.16    0.000134           4        30        19 newfstatat
  0.12    0.000096           2        34           rt_sigprocmask
  0.10    0.000084           1        56           mmap
  0.09    0.000071           2        32           close
  0.06    0.000052           2        25           rt_sigaction
  0.06    0.000051           1        27           fstat
  0.03    0.000026           2         9         2 fcntl
  0.02    0.000018           2         7         1 lseek
  0.02    0.000017           4         4           dup2
  0.02    0.000013           2         5         5 ioctl
  0.01    0.000009           4         2           rt_sigreturn
  0.01    0.000009           3         3           getuid
  0.01    0.000009           3         3           getgid
  0.01    0.000009           3         3           geteuid
  0.01    0.000009           3         3           getegid
  0.01    0.000009           3         3           getppid
  0.01    0.000009           1         6           prlimit64
  0.01    0.000008           2         3           getpid
  0.01    0.000008           8         1           pipe2
  0.01    0.000007           1         5         3 access
  0.01    0.000006           0         7           brk
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           getpgrp
  0.00    0.000003           3         1           futex
  0.00    0.000000           0         1           poll
  0.00    0.000000           0        12           mprotect
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         6           pread64
  0.00    0.000000           0        21        19 execve
  0.00    0.000000           0        19        13 readlink
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         3           getrandom
  0.00    0.000000           0        11         7 statx
  0.00    0.000000           0         2           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.082844           4     16587        89 total
