% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 67.75    0.051195           3     16178           read
 28.97    0.021894        5473         4         2 wait4
  0.84    0.000637          30        21        19 execve
  0.46    0.000351         175         2           clone
  0.32    0.000241           5        44        16 openat
  0.31    0.000235           4        56           mmap
  0.22    0.000165           5        30        19 newfstatat
  0.22    0.000163           4        34           rt_sigprocmask
  0.12    0.000094           4        19        13 readlink
  0.12    0.000090           2        32           close
  0.10    0.000079           3        25           rt_sigaction
  0.10    0.000077           6        12           mprotect
  0.08    0.000063           2        27           fstat
  0.07    0.000054           4        11         7 statx
  0.07    0.000052           7         7         1 lseek
  0.03    0.000022          11         2           munmap
  0.02    0.000015           2         7           brk
  0.01    0.000011           1         9         2 fcntl
  0.01    0.000010           2         5         5 ioctl
  0.01    0.000010           2         4           dup2
  0.01    0.000010           3         3           getegid
  0.01    0.000009           4         2           rt_sigreturn
  0.01    0.000009           1         5         3 access
  0.01    0.000009           3         3           geteuid
  0.01    0.000008           4         2           sigaltstack
  0.01    0.000007           2         3           getrandom
  0.01    0.000006           1         6           pread64
  0.01    0.000006           2         3           getuid
  0.01    0.000006           2         3           getgid
  0.01    0.000005           0         6           prlimit64
  0.01    0.000004           4         1           uname
  0.01    0.000004           4         1           sched_getaffinity
  0.00    0.000003           1         3           getpid
  0.00    0.000003           1         3           getppid
  0.00    0.000003           1         2           arch_prctl
  0.00    0.000003           3         1           futex
  0.00    0.000003           1         2           set_tid_address
  0.00    0.000003           1         2           set_robust_list
  0.00    0.000003           1         2           rseq
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         1           pipe2
------ ----------- ----------- --------- --------- ------------------
100.00    0.075562           4     16587        89 total
