% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 46.30    0.000451         451         1           execve
 13.45    0.000131          10        13           mmap
  5.24    0.000051          10         5           openat
  4.83    0.000047           9         5           read
  3.70    0.000036           7         5           mprotect
  3.59    0.000035          17         2           write
  2.77    0.000027          13         2           lseek
  2.67    0.000026          13         2           munmap
  2.57    0.000025           5         5           close
  2.16    0.000021          10         2           getdents64
  1.95    0.000019           3         5           fstat
  1.85    0.000018           6         3           statx
  1.64    0.000016           3         5           rt_sigaction
  1.44    0.000014           4         3           brk
  0.92    0.000009           3         3           sigaltstack
  0.72    0.000007           7         1         1 access
  0.72    0.000007           3         2           prlimit64
  0.62    0.000006           3         2           pread64
  0.41    0.000004           4         1           poll
  0.41    0.000004           4         1           sched_getaffinity
  0.41    0.000004           4         1           set_robust_list
  0.41    0.000004           4         1           getrandom
  0.31    0.000003           3         1           arch_prctl
  0.31    0.000003           3         1           gettid
  0.31    0.000003           3         1           set_tid_address
  0.31    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.000974          13        74         1 total
